tracking_no,recommendation
131591000000000.0,This customer has moderate spending. Encourage them to explore more products or services to increase their spending.
131591000000000.0,This customer spends a significant amount on food and beverages. Consider offering meal deals or discounts to increase their loyalty.
162391000000000.0,This customer has moderate spending. Encourage them to explore more products or services to increase their spending.
165491000000000.0,This customer has high spending. Consider offering loyalty rewards or exclusive deals to retain them.
165491000000000.0,This customer spends a significant amount on food and beverages. Consider offering meal deals or discounts to increase their loyalty.
181891000000000.0,This customer has high spending. Consider offering loyalty rewards or exclusive deals to retain them.
254491000000000.0,This customer has moderate spending. Encourage them to explore more products or services to increase their spending.
254491000000000.0,This customer spends a significant amount on food and beverages. Consider offering meal deals or discounts to increase their loyalty.
278891000000000.0,This customer has high spending. Consider offering loyalty rewards or exclusive deals to retain them.
278891000000000.0,This customer spends a significant amount on food and beverages. Consider offering meal deals or discounts to increase their loyalty.
281791000000000.0,This customer has high spending. Consider offering loyalty rewards or exclusive deals to retain them.
325791000000000.0,This customer has moderate spending. Encourage them to explore more products or services to increase their spending.
325791000000000.0,This customer spends a significant amount on food and beverages. Consider offering meal deals or discounts to increase their loyalty.
339091000000000.0,This customer has high spending. Consider offering loyalty rewards or exclusive deals to retain them.
359591000000000.0,This customer has high spending. Consider offering loyalty rewards or exclusive deals to retain them.
375191000000000.0,This customer has high spending. Consider offering loyalty rewards or exclusive deals to retain them.
384091000000000.0,This customer has high spending. Consider offering loyalty rewards or exclusive deals to retain them.
394091000000000.0,This customer has moderate spending. Encourage them to explore more products or services to increase their spending.
413991000000000.0,This customer has high spending. Consider offering loyalty rewards or exclusive deals to retain them.
453691000000000.0,This customer has high spending. Consider offering loyalty rewards or exclusive deals to retain them.
514491000000000.0,This customer has high spending. Consider offering loyalty rewards or exclusive deals to retain them.
532891000000000.0,This customer has high spending. Consider offering loyalty rewards or exclusive deals to retain them.
556791000000000.0,This customer has high spending. Consider offering loyalty rewards or exclusive deals to retain them.
562991000000000.0,This customer has moderate spending. Encourage them to explore more products or services to increase their spending.
562991000000000.0,This customer spends a significant amount on food and beverages. Consider offering meal deals or discounts to increase their loyalty.
720191000000000.0,This customer has moderate spending. Encourage them to explore more products or services to increase their spending.
720191000000000.0,This customer spends a significant amount on food and beverages. Consider offering meal deals or discounts to increase their loyalty.
744091000000000.0,This customer has high spending. Consider offering loyalty rewards or exclusive deals to retain them.
745591000000000.0,This customer has high spending. Consider offering loyalty rewards or exclusive deals to retain them.
745591000000000.0,This customer spends a significant amount on food and beverages. Consider offering meal deals or discounts to increase their loyalty.
770191000000000.0,This customer has high spending. Consider offering loyalty rewards or exclusive deals to retain them.
773191000000000.0,This customer has high spending. Consider offering loyalty rewards or exclusive deals to retain them.
773191000000000.0,This customer spends a significant amount on food and beverages. Consider offering meal deals or discounts to increase their loyalty.
821791000000000.0,This customer has high spending. Consider offering loyalty rewards or exclusive deals to retain them.
836891000000000.0,This customer has high spending. Consider offering loyalty rewards or exclusive deals to retain them.
863891000000000.0,This customer has high spending. Consider offering loyalty rewards or exclusive deals to retain them.
886791000000000.0,This customer has high spending. Consider offering loyalty rewards or exclusive deals to retain them.
886791000000000.0,This customer spends a significant amount on food and beverages. Consider offering meal deals or discounts to increase their loyalty.
943091000000000.0,This customer has high spending. Consider offering loyalty rewards or exclusive deals to retain them.
943091000000000.0,This customer spends a significant amount on food and beverages. Consider offering meal deals or discounts to increase their loyalty.
989491000000000.0,This customer has high spending. Consider offering loyalty rewards or exclusive deals to retain them.
990491000000000.0,This customer has high spending. Consider offering loyalty rewards or exclusive deals to retain them.
